Model Id;Model Name;Class;Measure Values
212202;Canon 50mm f/1.8 II EF-Mount Lens {52};A;10
369445;Sony Cyber-Shot DSC-RX1R II  Digital Camera {42.4MP};A;3
372168;Zeiss Batis 18mm f/2.8 Distagon T* Autofocus Lens for Sony E Mount {77};A;11
246557;Nikon AF-S Nikkor 300mm f/2.8 G ED VR Autofocus IF Lens, Black {52};A;10
212461;Canon 28-135mm f/3.5-5.6 IS Macro USM EF Mount Lens {72};A;26
246685;Nikon AF-S Nikkor 28-70mm F/2.8 D ED IF AF Lens {77};A;14
372360;Fujifilm X-T20 Mirrorless Digital Camera Body, Black {24.3MP};A;7
357333;Canon 35mm f/2 IS USM EF-Mount Lens {67};A;10
284735;Nikon AF-S Nikkor 24mm f/1.4 G ED Autofocus Lens {77};A;12
229612;Leica M6 TTL (.72X Finder/28-135mm) 35mm Rangefinder Camera Body, Black (10433);A;5
357422;Canon EF-S 18-135mm f/3.5-5.6 IS STM Autofocus Lens for APS-C DSLR {67};A;12
362488;Sony Sonnar T* FE 35mm f/2.8 Carl Zeiss ZA E-Mount Autofocus Lens, Black {49} SEL35F28Z;A;8
359430;Fujifilm Fujinon XF 14mm f/2.8 R Lens for X-Mount, Black {58};A;12
379524;Nikon Nikkor Z 14-30mm f/4 S Lens for Z Mount {82};A;8
381148;Hasselblad X1DII-50C Medium Format Mirrorless Digital Camera Body;A;3
367636;Sigma 150-600mm f/5-6.3 DG OS (HSM) S (Sports) Full-Frame Lens for Canon EF-Mount {105};A;6
352068;Sigma 70-200mm F/2.8 APO EX DG HSM OS Lens For Canon EF-Mount {77};A;14
212510;Canon 70-300mm f/4-5.6 IS USM EF Mount Lens {58};A;16
208761;Nikon D3 DSLR Camera Body {12.1MP};A;11
362638;Sony Alpha a7R Mirrorless Digital Camera Body, Black {36MP};A;3
213846;Canon A-1 35mm Camera Body;A;23
381561;Canon RF 24-70mm f/2.8 L IS USM Full-Frame Lens for RF-Mount {82};A;5
381856;Nikon Z50 Mirrorless Digital Camera Body {20.9MP};A;3
364313;Nikon AF-S Nikkor 35mm f/1.8 G ED Autofocus Lens {58};A;14
213848;Canon AE-1 Chrome 35mm Camera Body;A;18
298845;Canon EOS Rebel T3I DSLR Camera Body {18MP};A;9
221171;Contax G2 Autofocus 35mm Rangefinder Camera Body, Chrome;A;8
289578;Nikon AF-S DX Nikkor 10-24mm f/3.5-4.5 G ED Autofocus Lens for APS-C Sensor DSLR, Black {77};A;12
246573;Nikon Nikkor 50mm f/1.8 D Autofocus Lens {52};A;13
213850;Canon AE-1 Program Chrome 35mm Camera Body;A;22
246579;Nikon Nikkor 60mm f/2.8 D Micro Autofocus Lens {62};A;10
380668;Panasonic Lumix DC-S1R Mirrorless Full Frame S Series Digital Camera Body, Black {47.3MP};A;5
372470;Sigma 85mm f/1.4 DG (HSM) A (Art) Autofocus Full Frame Lens for Canon EF-Mount {86};A;11
